val_mr_3s,val_mr,val_min_fde_3s,val_min_fde,val_min_ade_3s,val_min_ade,val_loss,eval_dataset,train_dataset
0.629643,0.72608,11.689737,19.270515,5.958665,9.324297,41.167545,exid,i80
0.729462,0.843523,12.138255,20.273226,6.172137,9.750457,33.002022,exid,ind
0.848489,0.924444,15.029199,36.501247,7.58033,15.447114,144.32077,exid,interact
0.566224,0.711931,6.491399,12.453626,3.369129,5.513865,21.78845,exid,lyft
0.887316,0.916937,23.707705,36.756386,12.037985,18.584019,55.108101,exid,nuscenes
0.97106,0.973066,41.348717,67.427948,20.374489,32.802311,199.066147,exid,opendd
0.956743,0.961279,30.317598,56.94228,14.918262,25.321732,139.010971,exid,round
0.872978,0.91869,26.695543,43.187428,13.319952,21.119682,55.961052,exid,sind
0.95969,0.968738,43.737896,68.408333,22.61772,34.737392,226.214523,exid,unid
0.986107,0.987586,58.075291,91.282745,29.736589,46.224182,352.430206,exid,univ
0.597776,0.697979,10.445035,16.563292,5.627481,8.402707,29.869917,exid,us101
0.970577,0.979836,36.114006,66.627586,17.257977,30.478888,185.525009,exid,vod
0.730389,0.753611,4.444568,5.705849,4.707377,4.819914,28.552542,exid,waymo
0.986053,0.987517,57.485161,89.6595,29.600441,45.614693,352.916992,exid,zara1
0.987303,0.989094,60.269474,94.389496,30.729044,47.799541,367.814514,exid,zara2
0.071034,0.211419,0.703929,1.353045,0.552986,0.746494,14.091438,highd,a43
0.60918,0.668335,26.89473,40.965553,13.741659,20.856714,113.647667,highd,ad4che
0.964046,0.976941,40.829967,73.995247,20.109224,34.572544,191.302444,highd,apollo
0.679476,0.849493,5.166659,25.127773,2.162838,8.779432,65.56636,highd,argoverse
0.509253,0.567506,7.968533,13.1305,3.934577,6.299309,12.734871,highd,av2
0.993005,0.993596,70.90818,109.545639,36.50201,55.833908,633.971069,highd,eth
0.07137,0.253924,0.757895,1.489333,0.575694,0.792432,8.9914,highd,exid
0.005487,0.023721,0.274505,0.414244,0.223171,0.271319,-1.971715,highd,highd
0.991094,0.992256,67.005127,103.289734,34.440929,52.610153,328.872864,highd,hotel
0.657144,0.696414,16.000679,25.886497,8.262155,12.730079,40.086479,highd,i80
0.876476,0.916321,20.345369,33.253532,10.48227,16.246328,43.032974,highd,ind
0.931864,0.945627,25.232153,51.476131,12.906083,23.319967,243.29808,highd,interact
0.564717,0.585166,9.586513,16.011051,4.822032,7.637568,21.347086,highd,lyft
0.938941,0.940705,36.751831,56.403984,18.781679,28.779514,75.80291,highd,nuscenes
0.966581,0.97534,48.79023,78.202957,24.963846,38.771267,261.558289,highd,opendd
0.960166,0.966298,41.925755,72.515289,21.07782,34.060081,191.520081,highd,round
0.944639,0.955547,41.751652,66.178123,20.607683,32.695675,88.060051,highd,sind
0.959444,0.962917,52.494411,80.633659,27.271996,41.312656,259.424744,highd,unid
0.990666,0.992109,66.598549,103.280479,34.137371,52.480774,410.838745,highd,univ
0.658284,0.691123,18.117205,28.326187,9.830465,14.54314,36.72102,highd,us101
0.972805,0.981429,44.294041,78.225754,21.717585,36.681538,234.807617,highd,vod
0.822402,0.81152,5.032255,5.693399,5.466301,5.40419,34.787525,highd,waymo
0.990709,0.991767,66.343689,102.424522,34.15731,52.223476,407.691376,highd,zara1
0.9925,0.993433,68.621613,106.07164,35.045834,53.908318,427.705475,highd,zara2
0.775701,0.855919,11.149048,22.987442,5.115461,9.604408,119.973969,hotel,a43
0.027259,0.205802,0.654379,1.142318,0.323073,0.536017,21.829342,hotel,ad4che
0.056659,0.787188,0.945836,2.506261,0.475571,1.05842,12.017168,hotel,apollo
0.023949,0.183217,0.619639,1.084,0.270241,0.503687,9.886865,hotel,argoverse
0.005841,0.037188,0.35968,0.624941,0.190982,0.303763,9.314404,hotel,av2
0.003894,0.02648,0.309442,0.49141,0.157177,0.248048,2.335268,hotel,eth
0.454245,0.696456,1.834374,2.766346,0.983275,1.485756,53.653378,hotel,exid
0.17796,0.47683,1.337365,2.093917,0.687658,1.0876,31.799086,hotel,highd
0.003505,0.023949,0.301022,0.484618,0.152076,0.24212,2.51314,hotel,hotel
0.130841,0.16764,0.94247,1.199689,0.462755,0.690571,12.707273,hotel,i80
0.033879,0.126363,0.674102,0.988099,0.359147,0.532127,15.410898,hotel,ind
0.048481,0.932827,0.836169,3.190951,0.364704,1.212886,16.276773,hotel,interact
0.013435,0.075156,0.464311,0.752999,0.225123,0.375789,5.519558,hotel,lyft
0.053544,0.235787,0.790491,1.298071,0.421868,0.654833,20.840605,hotel,nuscenes
0.007593,0.058022,0.397547,0.668731,0.209191,0.329965,6.158513,hotel,opendd
0.012461,0.071067,0.51227,0.836058,0.283338,0.436715,12.078489,hotel,round
0.005257,0.031542,0.430504,0.614341,0.231871,0.34063,6.319958,hotel,sind
0.042835,0.176597,0.840701,1.2314,0.421246,0.654358,18.72226,hotel,unid
0.005452,0.023754,0.336737,0.526013,0.1716,0.268902,2.948565,hotel,univ
0.079829,0.1875,0.919068,1.344863,0.451395,0.697314,19.599665,hotel,us101
0.026285,0.933995,0.778174,3.326344,0.38431,1.316177,15.298642,hotel,vod
